ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1999-11-15,0.07597759796034459,-3.2631875463296796,4.555729892442938,0.07597759796034459,0.07597759796034459,0.5379943473824045,0.5379943473824045,0.5379943473824045,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320813144,0.01677848320813144,0.01677848320813144,0.4257451500838191,0.4257451500838191,0.4257451500838191,0.0,0.0,0.0,0.613971945342749
1999-11-16,0.0760454181881084,-3.278763005635859,4.33177123189146,0.0760454181881084,0.0760454181881084,0.5354136650262629,0.5354136650262629,0.5354136650262629,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043867966,0.002131749043867966,0.002131749043867966,0.4378112018919408,0.4378112018919408,0.4378112018919408,0.0,0.0,0.0,0.6114590832143713
1999-11-17,0.07611323841587221,-3.3463027888034786,4.441576469383267,0.07611323841587221,0.07611323841587221,0.5484358276034267,0.5484358276034267,0.5484358276034267,0.09547071409045407,0.09547071409045407,0.09547071409045407,0.0061547437248533786,0.0061547437248533786,0.0061547437248533786,0.44681036978811933,0.44681036978811933,0.44681036978811933,0.0,0.0,0.0,0.6245490660192989
1999-11-18,0.076181058643636,-3.6104967369880465,4.553591032342659,0.076181058643636,0.076181058643636,0.5501858141096685,0.5501858141096685,0.5501858141096685,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581535388,0.0018649627581535388,0.0018649627581535388,0.452850137261061,0.452850137261061,0.452850137261061,0.0,0.0,0.0,0.6263668727533045
1999-11-19,0.0762488788713998,-3.2129472308707085,4.5870841061876435,0.0762488788713998,0.0762488788713998,0.5484951186634679,0.5484951186634679,0.5484951186634679,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472418485,-0.0030622275472418485,-0.0030622275472418485,0.4560866321202558,0.4560866321202558,0.4560866321202558,0.0,0.0,0.0,0.6247439975348676
1999-11-22,0.07645233955469122,-3.098103225240861,4.825644154084493,0.07645233955469122,0.07645233955469122,0.5633682230410973,0.5633682230410973,0.5633682230410973,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320813281,0.01677848320813281,0.01677848320813281,0.4511190257425106,0.4511190257425106,0.4511190257425106,0.0,0.0,0.0,0.6398205625957886
1999-11-23,0.07652015978245502,-3.461949679514448,4.8601992924065245,0.07652015978245502,0.07652015978245502,0.5430251560375218,0.5430251560375218,0.5430251560375218,0.09547071409045411,0.09547071409045411,0.09547071409045411,0.0021317490438570574,0.0021317490438570574,0.0021317490438570574,0.44542269290321074,0.44542269290321074,0.44542269290321074,0.0,0.0,0.0,0.6195453158199768
1999-11-24,0.07658798001021883,-3.0023838881453657,4.588587020251736,0.07658798001021883,0.07658798001021883,0.5397966689529781,0.5397966689529781,0.5397966689529781,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.00615474372486304,0.00615474372486304,0.00615474372486304,0.43817121113766094,0.43817121113766094,0.43817121113766094,0.0,0.0,0.0,0.6163846489631969
1999-11-26,0.07672362046574642,-3.263216042502025,4.407123961104136,0.07672362046574642,0.07672362046574642,0.512542242522607,0.512542242522607,0.512542242522607,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472630676,-0.0030622275472630676,-0.0030622275472630676,0.42013375597941593,0.42013375597941593,0.42013375597941593,0.0,0.0,0.0,0.5892658629883535
1999-11-29,0.07692708114903783,-3.462001076662323,4.292484883511884,0.07692708114903783,0.07692708114903783,0.5003862617060737,0.5003862617060737,0.5003862617060737,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320811946,0.01677848320811946,0.01677848320811946,0.38813706440750023,0.38813706440750023,0.38813706440750023,0.0,0.0,0.0,0.5773133428551115
1999-11-30,0.07699490137680164,-3.6395331603678853,4.588627428748676,0.07699490137680164,0.07699490137680164,0.47463490012943166,0.47463490012943166,0.47463490012943166,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043872683,0.002131749043872683,0.002131749043872683,0.37703243699510486,0.37703243699510486,0.37703243699510486,0.0,0.0,0.0,0.5516298015062333
1999-12-01,0.07706272160456544,-3.351789027623575,4.703628394953427,0.07706272160456544,0.07706272160456544,0.46761229530763193,0.46761229530763193,0.46761229530763193,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724855215,0.006154743724855215,0.006154743724855215,0.36598683749232264,0.36598683749232264,0.36598683749232264,0.0,0.0,0.0,0.5446750169121973
1999-12-02,0.07713054183232924,-3.4391177922478207,4.627782379238055,0.07713054183232924,0.07713054183232924,0.45245214039745774,0.45245214039745774,0.45245214039745774,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581755809,0.0018649627581755809,0.0018649627581755809,0.35511646354882803,0.35511646354882803,0.35511646354882803,0.0,0.0,0.0,0.529582682229787
1999-12-03,0.07719836206009305,-3.3128436762157847,4.428668220388345,0.07719836206009305,0.07719836206009305,0.43691140147310575,0.43691140147310575,0.43691140147310575,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.003062227547237649,-0.003062227547237649,-0.003062227547237649,0.34450291492988927,0.34450291492988927,0.34450291492988927,0.0,0.0,0.0,0.5141097635331988
1999-12-06,0.07740182274338445,-3.2518505787707075,4.502433151644051,0.07740182274338445,0.07740182274338445,0.4267857949394267,0.4267857949394267,0.4267857949394267,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320812756,0.01677848320812756,0.01677848320812756,0.3145365976408451,0.3145365976408451,0.3145365976408451,0.0,0.0,0.0,0.5041876176828112
1999-12-07,0.07746964297114826,-3.209437931515705,4.246633793372597,0.07746964297114826,0.07746964297114826,0.4027483063474832,0.4027483063474832,0.4027483063474832,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0021317490438687867,0.0021317490438687867,0.0021317490438687867,0.30514584321316035,0.30514584321316035,0.30514584321316035,0.0,0.0,0.0,0.4802179493186315
1999-12-08,0.07753746319891205,-3.2776375828193953,4.23882253972488,0.07753746319891205,0.07753746319891205,0.397613262474438,0.397613262474438,0.397613262474438,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724847391,0.006154743724847391,0.006154743724847391,0.2959878046591365,0.2959878046591365,0.2959878046591365,0.0,0.0,0.0,0.47515072567335004
1999-12-09,0.07760528342667586,-3.481640684171748,4.411453548273329,0.07760528342667586,0.07760528342667586,0.3843382899597632,0.3843382899597632,0.3843382899597632,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581647796,0.0018649627581647796,0.0018649627581647796,0.2870026131111443,0.2870026131111443,0.2870026131111443,0.0,0.0,0.0,0.4619435733864391
1999-12-10,0.07767310365443966,-3.544838741882212,4.403449096224946,0.07767310365443966,0.07767310365443966,0.3705340973483621,0.3705340973483621,0.3705340973483621,0.09547071409045411,0.09547071409045411,0.09547071409045411,-0.003062227547206354,-0.003062227547206354,-0.003062227547206354,0.2781256108051144,0.2781256108051144,0.2781256108051144,0.0,0.0,0.0,0.44820720100280176
1999-12-13,0.07787656433773107,-3.704855686677931,4.268650118035205,0.07787656433773107,0.07787656433773107,0.3638062818048737,0.3638062818048737,0.3638062818048737,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320813566,0.01677848320813566,0.01677848320813566,0.2515570845062839,0.2515570845062839,0.2515570845062839,0.0,0.0,0.0,0.4416828461426048
1999-12-14,0.07794438456549488,-3.6506640589952277,4.258583737075619,0.07794438456549488,0.07794438456549488,0.34018974931592894,0.34018974931592894,0.34018974931592894,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043850863,0.002131749043850863,0.002131749043850863,0.24258728618162398,0.24258728618162398,0.24258728618162398,0.0,0.0,0.0,0.41813413388142384
1999-12-15,0.07801220479325867,-3.600943128406915,4.581095626525128,0.07801220479325867,0.07801220479325867,0.3351672856656499,0.3351672856656499,0.3351672856656499,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0061547437248570536,0.0061547437248570536,0.0061547437248570536,0.2335418278503387,0.2335418278503387,0.2335418278503387,0.0,0.0,0.0,0.41317949045890856
1999-12-16,0.07808002502102247,-3.395641902092766,4.693489040186066,0.07808002502102247,0.07808002502102247,0.32178244185392685,0.32178244185392685,0.32178244185392685,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581509883,0.0018649627581509883,0.0018649627581509883,0.22444676500532176,0.22444676500532176,0.22444676500532176,0.0,0.0,0.0,0.3998624668749493
1999-12-17,0.07814784524878629,-3.6376338600514564,4.30882455341026,0.07814784524878629,0.07814784524878629,0.30776514741419503,0.30776514741419503,0.30776514741419503,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472275725,-0.0030622275472275725,-0.0030622275472275725,0.21535666087096844,0.21535666087096844,0.21535666087096844,0.0,0.0,0.0,0.3859129926629813
1999-12-20,0.07835130593207769,-3.4018426060327287,4.359890069266889,0.07835130593207769,0.07835130593207769,0.3013497592000574,0.3013497592000574,0.3013497592000574,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320814039,0.01677848320814039,0.01677848320814039,0.18910056190146293,0.18910056190146293,0.18910056190146293,0.0,0.0,0.0,0.3797010651321351
1999-12-21,0.07841912615984149,-3.2497782779872106,4.492767199781273,0.07841912615984149,0.07841912615984149,0.2787551368301848,0.2787551368301848,0.2787551368301848,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0021317490439000403,0.0021317490439000403,0.0021317490439000403,0.1811526736958307,0.1811526736958307,0.1811526736958307,0.0,0.0,0.0,0.3571742629900263
1999-12-22,0.0784869463876053,-3.581480849209377,4.139958241176654,0.0784869463876053,0.0784869463876053,0.2755241966333208,0.2755241966333208,0.2755241966333208,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724865231,0.006154743724865231,0.006154743724865231,0.17389873881800147,0.17389873881800147,0.17389873881800147,0.0,0.0,0.0,0.35401114302092607
1999-12-23,0.0785547666153691,-3.8746431153575043,4.367446190149507,0.0785547666153691,0.0785547666153691,0.26487549804979954,0.26487549804979954,0.26487549804979954,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581620097,0.0018649627581620097,0.0018649627581620097,0.1675398212011834,0.1675398212011834,0.1675398212011834,0.0,0.0,0.0,0.3434302646651686
1999-12-27,0.07882604752642432,-3.7168175438080784,3.9437653896896188,0.07882604752642432,0.07882604752642432,0.26749638085293115,0.26749638085293115,0.26749638085293115,0.09547071409045411,0.09547071409045411,0.09547071409045411,0.016778483208127044,0.016778483208127044,0.016778483208127044,0.15524718355435,0.15524718355435,0.15524718355435,0.0,0.0,0.0,0.34632242837935545
1999-12-28,0.07889386775418812,-3.6962793849042135,4.416943630463181,0.07889386775418812,0.07889386775418812,0.2540507793655984,0.2540507793655984,0.2540507793655984,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043882116,0.002131749043882116,0.002131749043882116,0.15644831623126215,0.15644831623126215,0.15644831623126215,0.0,0.0,0.0,0.3329446471197865
1999-12-29,0.07896168798195191,-3.5971950638503127,4.09474035855901,0.07896168798195191,0.07896168798195191,0.2613132448722339,0.2613132448722339,0.2613132448722339,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0061547437248574074,0.0061547437248574074,0.0061547437248574074,0.1596877870569224,0.1596877870569224,0.1596877870569224,0.0,0.0,0.0,0.3402749328541858
1999-12-30,0.07902950820971572,-3.693660199522788,4.067679745300182,0.07902950820971572,0.07902950820971572,0.2624112855302205,0.2624112855302205,0.2624112855302205,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.001864962758173031,0.001864962758173031,0.001864962758173031,0.16507560868159335,0.16507560868159335,0.16507560868159335,0.0,0.0,0.0,0.3414407937399362
1999-12-31,0.07909732843747952,-3.6618355694212523,4.355562512724429,0.07909732843747952,0.07909732843747952,0.26508849126257344,0.26508849126257344,0.26508849126257344,0.09547071409045407,0.09547071409045407,0.09547071409045407,-0.003062227547234937,-0.003062227547234937,-0.003062227547234937,0.1726800047193543,0.1726800047193543,0.1726800047193543,0.0,0.0,0.0,0.34418581970005296
2000-01-03,0.07930078912077093,-3.5297421802345044,4.352484024519354,0.07930078912077093,0.07930078912077093,0.32099038099570154,0.32099038099570154,0.32099038099570154,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320813514,0.01677848320813514,0.01677848320813514,0.2087411836971123,0.2087411836971123,0.2087411836971123,0.0,0.0,0.0,0.4002911701164725
2000-01-04,0.07936860934853474,-3.667651435163036,4.473426565626908,0.07936860934853474,0.07936860934853474,0.3224941886664671,0.3224941886664671,0.3224941886664671,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043878221,0.002131749043878221,0.002131749043878221,0.22489172553213482,0.22489172553213482,0.22489172553213482,0.0,0.0,0.0,0.40186279801500185
